Date,Open,High,Low,Close,Adj Close,Volume
1993-03-01,0.566410,0.628910,0.546880,38.000000,0.533171,175699200
1993-04-01,0.593750,0.628910,0.535160,38.750080,0.543695,176742400
1993-05-01,0.617190,0.761720,0.609380,48.000000,0.673479,313324800
1993-06-01,0.750000,0.777340,0.695310,48.999680,0.687505,202048000
1993-07-01,0.761720,0.843750,0.742190,47.500160,0.666466,288326400
1993-08-01,0.753910,0.781250,0.683590,48.499840,0.680492,294707200
1993-09-01,0.753910,0.882810,0.726560,54.750080,0.768188,298115200
1993-10-01,0.859380,0.875000,0.789060,26.750080,0.750651,186150400
1993-11-01,0.820310,0.851560,0.640620,22.249920,0.624369,200307200
1993-12-01,0.710940,0.773440,0.648440,22.249920,0.624369,166326400
1994-01-01,0.687500,0.765620,0.593750,24.000000,0.673479,384339200
1994-02-01,0.750000,0.781250,0.671880,23.249920,0.652430,166435200
1994-03-01,0.710940,0.796880,0.656250,24.375040,0.684003,312876800
1994-04-01,0.734380,0.960940,0.710940,29.750080,0.834835,318246400
1994-05-01,0.921880,0.945310,0.765620,28.499840,0.799752,262678400
1994-06-01,0.890620,1.015620,0.773440,25.249920,0.708554,318211200
1994-07-01,0.789060,0.960940,0.734380,29.000000,0.813787,344019200
1994-08-01,0.914060,0.929690,0.828120,28.249920,0.792739,223584000
1994-09-01,0.875000,0.929690,0.695310,23.062401,0.647168,429996800
1994-10-01,0.718750,0.875000,0.671880,27.125120,0.761175,250812800
1994-11-01,0.835940,0.914060,0.804690,26.812481,0.752402,333379200
1994-12-01,0.835940,0.875000,0.761720,27.500160,0.771699,227331200
1995-01-01,0.851560,0.855470,0.734380,24.000000,0.673479,260348800
1995-02-01,0.746090,0.828120,0.703120,23.874880,0.669968,247699200
1995-03-01,0.750000,0.802730,0.695310,24.000000,0.673479,456051200
1995-04-01,0.750000,0.816410,0.726560,23.500160,0.659452,373699200
1995-05-01,0.738280,0.984380,0.734380,29.062401,0.815538,586739200
1995-06-01,0.908200,1.164060,0.867190,35.624962,0.999694,670771200
1995-07-01,1.117190,1.320310,1.089840,37.375038,1.048804,565472000
1995-08-01,1.167970,1.269530,1.152340,40.000000,1.122465,294403200
1995-09-01,1.250000,1.382810,1.125000,37.874882,1.062831,590460800
1995-10-01,1.199220,1.242190,1.058590,39.249920,1.101416,534931200
1995-11-01,1.230470,1.410160,1.214840,42.249920,1.185601,475337600
1995-12-01,1.316410,1.468750,1.195310,42.000000,1.178588,299355200
1996-01-01,1.312500,1.312500,0.906250,16.750080,0.940069,682668800
1996-02-01,1.054690,1.125000,1.000000,17.624960,0.989170,364864000
1996-03-01,1.132810,1.476560,1.117190,23.312481,1.308372,484235200
1996-04-01,1.539060,1.835940,1.507810,27.124960,1.522341,544758400
1996-05-01,1.710940,1.851560,1.562500,27.124960,1.522341,289720000
1996-06-01,1.695310,1.781250,1.578120,28.249920,1.585477,237596800
1996-07-01,1.757810,1.867190,1.437500,26.000000,1.459204,351528000
1996-08-01,1.625000,2.132810,1.625000,32.750080,1.838041,322889600
1996-09-01,2.015620,2.242190,1.984380,33.000000,1.852067,342072000
1996-10-01,2.062500,2.515620,2.031250,32.500000,1.824005,501307200
1996-11-01,2.039060,2.289060,1.984380,34.624962,1.943265,315280000
1996-12-01,2.179690,2.296880,1.781250,28.624960,1.606526,332134400
1997-01-01,1.789060,2.242190,1.710940,34.249920,1.922216,407841600
1997-02-01,2.140620,2.328120,2.046880,33.624962,1.887142,243286400
1997-03-01,2.101560,2.117190,1.835940,29.624960,1.662649,353008000
1997-04-01,1.851560,1.953120,1.632810,29.875040,1.676684,426771200
1997-05-01,1.867190,2.125000,1.742190,31.500000,1.767882,452475200
1997-06-01,1.976560,2.468750,1.843750,38.937439,2.185295,549147200
1997-07-01,2.437500,2.601560,2.132810,40.937439,2.297542,443393600
1997-08-01,2.546880,2.703120,2.312500,41.000000,2.301053,370196800
1997-09-01,2.570310,2.796880,2.484380,41.812481,2.346652,301400000
1997-10-01,2.601560,2.617190,2.007810,33.000000,1.852067,519793600
1997-11-01,2.070310,2.250000,1.953120,34.875038,1.957300,270644800
1997-12-01,2.226560,2.531250,2.218750,38.375038,2.153731,290348800
1998-01-01,2.398440,2.414060,2.070310,36.562561,2.052009,340929600
1998-02-01,2.312500,2.507810,2.250000,39.562561,2.220380,309979200
1998-03-01,2.472660,2.902340,2.382810,45.312481,2.543083,297006400
1998-04-01,2.835940,3.062500,2.656250,48.124962,2.700929,330811200
1998-05-01,3.015620,3.117190,2.781250,48.000000,2.693916,233537600
1998-06-01,2.976560,3.421880,2.910160,53.437439,2.999082,362950400
1998-07-01,3.351560,3.746090,2.601560,41.875038,2.350163,594307200
1998-08-01,2.636720,2.703120,1.929690,31.562559,1.771393,652120000
1998-09-01,1.992190,2.640620,1.796880,36.187519,2.030961,685185600
1998-10-01,2.218750,2.765620,1.968750,43.375038,2.434348,599696000
1998-11-01,2.726560,3.078120,2.562500,46.124962,2.588682,458193600
1998-12-01,2.941410,3.515620,2.941410,56.124962,3.149914,353345600
1999-01-01,3.476560,3.500000,2.929690,52.062561,2.921920,477593600
1999-02-01,3.257810,3.386720,2.898440,52.875038,2.967518,325420800
1999-03-01,3.335940,3.984380,3.257810,56.124962,3.149914,398756800
1999-04-01,3.531250,4.875000,3.531250,36.937519,4.146107,294196800
1999-05-01,4.687500,5.125000,4.195310,36.875038,4.139093,266986400
1999-06-01,4.609380,4.812500,4.179690,37.562481,4.216257,297904000
1999-07-01,3.033200,3.546880,2.898440,23.250000,2.609731,1262235200
1999-08-01,2.937500,3.031250,2.484380,22.875040,2.567642,484346400
1999-09-01,2.867190,3.320310,2.554690,24.781200,2.781603,414877600
1999-10-01,3.093750,3.453120,2.671880,27.187519,3.051704,428342400
1999-11-01,3.359380,3.882810,3.234380,26.562481,2.981545,414032000
1999-12-01,3.320310,3.640620,2.968750,24.250000,2.721977,345246400
2000-01-01,2.984380,4.000000,2.890620,32.000000,3.591888,600080000
2000-02-01,3.968750,4.523440,3.796880,35.124962,3.942653,400636000
2000-03-01,4.390620,5.656250,4.078120,44.812481,5.030043,400131200
2000-04-01,5.023440,5.437500,3.750000,30.234320,3.393696,498413600
2000-05-01,3.875000,4.375000,3.500000,34.000000,3.816381,396386400
2000-06-01,4.265620,4.937500,4.000000,38.187519,4.286415,659726400
2000-07-01,4.750000,5.343750,4.492190,37.500000,4.209243,336964000
2000-08-01,4.683590,5.515620,4.320310,36.624962,4.111024,397544800
2000-09-01,4.781250,5.218750,4.484380,40.062481,4.496871,216478400
2000-10-01,5.015620,5.609380,4.593750,44.687519,5.016016,315918400
2000-11-01,5.539060,6.351560,5.375000,45.562481,5.114228,487753600
2000-12-01,5.781250,5.875000,5.171880,44.250000,4.966907,348287200
2001-01-01,5.490220,6.257810,5.046880,49.937519,5.605312,403068800
2001-02-01,6.171880,6.414060,5.781250,47.624962,5.345734,326197600
2001-03-01,5.937500,6.132810,4.820310,42.437519,4.763462,470802400
2001-04-01,5.320310,5.445310,4.539060,38.700001,4.343939,596036800
2001-05-01,4.837500,5.382500,4.500000,19.520000,4.382102,376932400
2001-06-01,5.000000,5.827500,4.732500,23.000000,5.163338,295074400
2001-07-01,5.622500,5.725000,4.475000,18.040001,4.049852,376518400
2001-08-01,4.532500,4.772500,4.200000,16.870001,3.787197,348419200
2001-09-01,4.215000,4.330000,3.365000,14.940000,3.353925,339334800
2001-10-01,3.700000,4.487500,3.540000,17.120001,3.843320,388806000
2001-11-01,4.287500,4.887500,4.170000,17.719999,3.978016,377239600
